Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
74,16664788,1o,"2026-08-21 11:50:48",2557.3,2,rian55
75,16635062,DL,"2026-08-23 09:28:23",2555.7,2,distiller
76,16662949,"Will English","2026-08-18 17:13:22",2554.3,2,dubascudes
77,16752740,BorisV,"2026-08-23 14:26:49",2551.3,2,bvoskresenskii
78,16621075,"Octavi Grau","2026-08-21 14:31:17",2546.1,2,octaviograu
79,16737482,Lindicaphxag,"2026-08-22 01:07:29",2543.0,2,oblivicore
80,16629165,lingyu07,"2026-08-20 14:18:40",2542.9,2,lingyu07
81,16753954,"Xu Ziming","2026-08-23 13:52:19",2541.4,2,imoxzm
82,16730344,lvisdd,"2026-08-21 20:51:08",2534.9,2,lvisdd
83,16734580,shyjin,"2026-08-23 11:04:29",2533.7,2,shyjin
84,16741639,kirito83,"2026-08-23 15:31:35",2532.0,2,lishsh83
85,16664751,"Cindy Meng90","2026-08-20 06:30:48",2530.2,2,cindymeng90
86,16675671,"MMM Abbie","2026-08-22 16:59:30",2525.7,2,kchuang
87,16704580,"Yunho Hwang","2026-08-23 02:43:26",2523.1,2,yunhohwang
88,16732748,denden12,"2026-08-22 08:02:48",2520.7,2,denden12
89,16628951,"Hiro Nomo","2026-08-23 10:57:06",2517.2,2,morinokuma3
90,16664002,"Guilherme Zanini de Sá","2026-08-22 20:30:54",2516.7,2,guilhermezaninides
91,16679389,"JOMIN URK21CS1077","2026-08-23 11:58:33",2512.6,2,jominurk21cs1077
92,16657316,SCNU,"2026-08-22 16:44:56",2509.2,2,jasonxusk
93,16725195,易研学社,"2026-08-20 21:34:21",2506.4,2,"chency17,sjojasdq"
94,16740851,Zefirrr,"2026-08-20 18:06:39",2500.4,2,zefirrrr
95,16634156,"Hiroyasu Okuno","2026-08-23 09:22:21",2498.9,2,hiroyasuokuno
96,16641169,boatlee,"2026-08-21 15:19:19",2496.6,2,boatlee
97,16750416,G!vIOne,"2026-08-23 12:56:28",2496.6,2,gvione
98,16679393,"Anvith Pothula","2026-08-21 22:24:16",2495.7,2,anvithpothula
99,16727544,"Mostafa H","2026-08-23 13:50:33",2494.3,2,mostafahaghiri68
100,16744503,"Jun AKita","2026-08-22 22:03:19",2493.5,2,junakita
101,16758634,Ernnnn4u,"2026-08-23 15:01:53",2492.8,2,ernnnn4u
102,16641372,ShoaibSSM,"2026-08-21 07:26:50",2490.7,2,"naveenlx111249971939,shoaibssm"
103,16721384,Hackoholics,"2026-08-18 04:18:12",2488.2,2,"limyenhui,richierx"
104,16654881,Freddy,"2026-08-23 04:58:49",2484.9,2,twoxding
105,16663175,Anaconda,"2026-08-23 14:38:19",2483.0,2,anaconda
106,16743392,tellurium_rrr,"2026-08-23 02:11:47",2482.9,2,telluriumrrr
107,16701728,"katya barzova","2026-08-22 21:33:41",2481.6,2,"nipah1,sigmaborov"
108,16632783,chocolat,"2026-08-23 03:30:34",2481.4,2,chocolatnya999
109,16641710,yjshyfy,"2026-08-23 08:55:34",2481.1,2,yjshyfy
110,16677149,"Umataro Tenma","2026-08-22 18:02:14",2479.9,2,umatarotenma
111,16724452,Jay,"2026-08-20 00:34:34",2477.4,2,jayshimada
112,16633688,Ryo,"2026-08-23 06:41:00",2476.2,2,ryosukekurakami
113,16743788,"Emmanuel Lo","2026-08-23 08:38:05",2475.5,2,emmanuello
114,16738487,"Andrey Shpigar","2026-08-23 10:16:18",2475.0,2,andreyshpigar
115,16716081,"dunky su","2026-08-23 06:36:50",2474.2,2,dunkysu
116,16733839,"Fabian Ruiz","2026-08-20 19:44:15",2473.5,2,fabianruiz3
117,16739898,"solo levelling","2026-08-18 21:08:16",2473.1,2,munibmemon
118,16687901,Khalid,"2026-08-23 15:31:20",2472.5,2,khalid000000
119,16699741,Tom3,"2026-08-21 20:04:19",2472.2,2,tomohiroaz
120,16720797,"Vibe Farmer","2026-08-23 16:26:17",2468.6,2,pulakkantibhowmick
121,16635351,AAAMIKASA,"2026-08-22 04:12:23",2466.4,2,aaamikasa
122,16727171,zxysbsq,"2026-08-23 14:08:51",2465.7,2,qwidndbdjss
123,16663867,"Stephen Schott","2026-08-19 16:15:01",2463.7,2,steve421471
124,16709101,"Djaafar Lecheheb DL","2026-08-23 01:41:00",2458.8,2,djaafarlechehebdl
125,16664232,"Eddy Despradel","2026-08-18 00:05:08",2456.2,2,eddydespradel
126,16677592,keniii,"2026-08-18 14:35:52",2451.7,2,kartheeswaran28
127,16635314,"Aurora wy","2026-08-23 01:09:59",2448.7,2,aurorawy
128,16632245,u,"2026-08-23 12:15:54",2447.3,2,"apostoloskontarinis,curbotron13,halzweiman,josephmcgonaglebrown,shreyanshpoddar"
129,16758074,"mountain Lee111","2026-08-22 09:12:30",2446.8,2,BNBUDINGSHANLee21
130,16732221,ringbearer,"2026-08-23 15:37:42",2443.0,2,mehmetbarankrat
131,16717186,"Roumak Das","2026-08-23 04:59:47",2441.0,2,roumak77
132,16681116,Kagamihara,"2026-08-23 11:15:44",2440.5,2,kagamihara
133,16640394,"MOHAMMADJAFAR ZAMANI","2026-08-21 09:33:49",2436.3,2,mohammadjafarzamani
134,16724755,K.nosaka,"2026-08-21 08:07:25",2436.0,2,kenseinosaka
135,16697229,"Masashi Nishimoto","2026-08-23 02:34:52",2435.7,2,masashinishimoto
136,16672315,CemBas,"2026-08-15 02:20:07",2435.6,2,cembas
137,16675960,"Audric LOKO","2026-08-21 22:04:44",2432.1,2,audricloko
138,16698223,"Feng Jiahui","2026-08-18 08:35:04",2430.7,2,junipersky
139,16625339,kazusw,"2026-08-23 00:11:58",2430.7,2,kazusw
140,16630825,"Black Mamba Farm","2026-08-23 05:20:18",2429.1,2,"asherjyd,qizhiran,yukundu231100"
141,16662819,THeLAB,"2026-08-17 18:55:16",2428.2,2,feuorme
142,16728708,"Rishi Jain","2026-08-18 07:27:14",2427.7,2,rishijain07
143,16687649,track,"2026-08-23 00:01:43",2427.1,2,"ahmedberatozer,omerlleez"
144,16729273,"Munib Ur Rehman Memon","2026-08-19 14:41:49",2425.4,2,muniburrehmanmemon
145,16659555,"Joseph Adamski","2026-08-22 14:19:07",2423.3,2,josephadamski91
146,16754560,Kam,"2026-08-21 14:02:39",2421.7,1,kamting
147,16744342,"glupez ","2026-08-22 12:40:37",2421.5,2,glupez
148,16628897,"Kyoungwon Jeong","2026-08-22 07:25:38",2421.4,2,kyoungwonjeong
149,16719733,CleoCantCompete,"2026-08-23 09:58:39",2413.6,2,cleocantcompete
150,16664477,"The T-MAN","2026-08-23 05:42:08",2412.4,2,otmaneelmahda
151,16659395,HyperX,"2026-08-22 12:33:16",2410.2,2,"diversedharun,harishinkaggle"
152,16681927,"Dariush Afshar","2026-08-22 09:35:42",2409.8,2,dariushafshar
153,16664537,"Lenin Goud","2026-08-20 18:04:47",2409.2,2,leningoud
154,16658221,"Roshan Roy","2026-08-23 15:40:33",2408.1,2,"adhilvt,mohamedarifj,roshanroy333"
155,16668152,ksew364,"2026-08-18 16:45:24",2407.5,2,ksew364
156,16712185,"Vishal Khomane","2026-08-20 14:06:18",2406.4,2,vishal567
157,16724298,Orig_lab,"2026-08-18 04:17:05",2406.1,2,chengxixixi
158,16689186,NCK,"2026-08-14 18:10:53",2403.5,2,drnchaitanyakumar
159,16667843,"durgesh dere","2026-08-21 16:10:13",2400.1,2,durgeshdere08
160,16669715,housssaamos,"2026-08-16 19:54:39",2399.0,2,housssaamos
161,16732727,brightest66,"2026-08-22 01:39:26",2396.8,2,brightest66
162,16685548,"Erfan Eshratifar","2026-08-22 20:27:27",2395.9,2,erfaneshrati
163,16699455,vijaikm,"2026-08-23 12:56:12",2392.8,2,vijaikm
164,16626332,"MD. Nazmus Sakib Anik","2026-08-21 17:00:31",2392.4,2,beyondlogic
165,16622627,"Erik van de Ven","2026-08-19 12:10:15",2391.4,1,erikvdven
166,16712189,"Kostiantyn Isaienkov","2026-08-23 00:18:39",2390.7,2,isaienkov
167,16632262,Milkomeda,"2026-08-19 13:45:02",2390.5,2,milkomeda74583
168,16660121,10pi,"2026-08-13 20:02:25",2387.7,2,meredith10pi
169,16753646,J,"2026-08-23 10:41:57",2384.1,2,junlinliunv
170,16752733,zjukop1,"2026-08-23 01:12:07",2382.9,2,zjukop1
171,16626582,"Omer Faruk Merey","2026-08-18 09:28:16",2382.7,2,omerfarukmerey
172,16739925,nofreewill42,"2026-08-23 18:05:16",2382.1,2,nofreewill
173,16685342,"Kanth Da","2026-08-22 05:53:12",2381.8,2,"kanthda,riteeshreddybysani"
174,16654526,"Jin Niu","2026-08-23 13:55:57",2381.3,2,gufanmingmie
175,16725342,little_d1d1,"2026-08-16 04:24:39",2378.0,2,littled1d1
176,16729102,"Bruce Zheng","2026-08-23 03:52:12",2377.3,2,brucezheng666
177,16749061,"Wang H2O","2026-08-21 12:29:12",2374.5,2,wangh2o
178,16630323,kaggricultureomnidimensionalut,"2026-08-23 17:31:35",2373.8,2,kumarandatascientist
179,16738626,李BCDEFGA,"2026-08-22 16:54:17",2372.6,2,bcdefga
180,16638557,"Araik Tamazian","2026-08-21 12:23:08",2369.8,2,atamazian
181,16737843,"Muhammad Shoaib Memon","2026-08-23 13:31:52",2368.3,2,muhammadshoaibmemon
182,16641548,"Indium AI Labs","2026-08-21 08:18:50",2367.8,4,"devaanshpa,wolframbopp"
183,16675503,"Jeff Marc E. Cadet","2026-08-20 14:29:18",2367.8,2,jeffmarcecadet
184,16623399,Kendamarron,"2026-08-21 23:01:24",2367.0,2,kazuhirokuriyama
185,16671454,Shadow,"2026-08-21 01:15:15",2366.4,2,uziahmd
186,16710128,"KeHao Liu","2026-08-14 01:52:29",2366.3,2,kehaoliu
187,16677847,ShiviWhivi,"2026-08-18 14:44:19",2359.9,2,blackpearls1
188,16745569,kitchs,"2026-08-23 05:01:15",2359.2,2,kitchs
189,16740644,Terence0914,"2026-08-22 19:14:07",2358.9,2,terence0914
190,16726545,whm8016,"2026-08-19 21:14:25",2357.6,2,whm8016
191,16626272,"ömer kiraz","2026-08-21 10:59:06",2356.4,2,merkiraz
192,16672549,"ReinFARMent Learning?","2026-08-21 18:30:46",2355.3,2,arksey
193,16675063,Tian_Wang1210,"2026-08-23 14:35:23",2354.1,2,tianwang1210
194,16727784,Baen,"2026-08-23 05:53:14",2353.6,2,cairh22
195,16639550,"HIDEYO CHIBA","2026-08-22 02:02:27",2352.3,2,hideyochiba
196,16658248,Aaweg,"2026-08-21 10:30:23",2351.5,2,aawegbhaladhare
197,16702590,aashka,"2026-08-22 11:45:48",2349.8,2,aashka
198,16622509,Ali,"2026-08-23 09:36:31",2348.3,2,asalhi
199,16630274,yutoAb,"2026-08-22 10:06:41",2348.2,2,yutoab
200,16689569,JovanaLab,"2026-08-18 14:52:15",2347.6,2,"choonesenlu,joxitsai"
201,16655478,Bruce,"2026-08-23 08:54:52",2346.6,2,bruceqdu
202,16685074,"Emir Can","2026-08-19 09:52:45",2344.3,2,aerospacer
203,16729192,1m0ke,"2026-08-18 09:25:53",2343.3,2,smokelate
204,16734551,"junseok lee","2026-08-20 23:26:39",2343.2,2,jaslee2
205,16623635,HiroyukiSasaki,"2026-08-19 23:37:06",2341.8,2,hiroyukisasaki815
206,16712535,"Benjamin Beaujard","2026-08-18 11:03:03",2341.4,2,benjaminbeaujard
207,16641982,ZotAZaw3,"2026-08-17 08:27:36",2340.2,2,zotazaw3
208,16706395,"Kunal Desale","2026-08-17 15:49:39",2338.5,2,kunaldesale2408
209,16639565,yasu,"2026-08-19 00:47:50",2337.1,2,yasutakababa
210,16728914,d0gied,"2026-08-17 15:12:08",2335.1,2,d0gied
211,16736250,Yizhi,"2026-08-19 07:12:23",2333.4,2,yizhitao
212,16656432,"CornHub Premium","2026-08-17 07:05:40",2332.8,2,nihilisticneuralnet
213,16667951,KoRo2_JP,"2026-08-23 05:19:40",2331.0,2,koro2jp
214,16671376,Lebxgue.,"2026-08-18 04:40:25",2329.1,2,yukieja
215,16688460,lllleeeo,"2026-08-18 07:38:12",2328.9,2,lllleeeo
216,16736969,"york li13","2026-08-19 01:07:02",2328.8,2,yorkli13
217,16669269,"yash bhaskar","2026-08-22 21:01:16",2328.0,2,yash9439
218,16626732,islet,"2026-08-23 03:16:10",2327.1,2,kojimar
219,16651939,"Yogesh Jadhav","2026-08-19 04:07:09",2325.2,2,dynamo14324
220,16679214,alban,"2026-08-20 08:56:28",2323.0,2,albantiacoh
221,16635029,"Oleg Melnik","2026-08-20 08:11:24",2321.3,2,olegmelnik
222,16725851,hetspookjee,"2026-08-20 21:46:40",2321.3,2,hetspookjee
223,16728160,Ozi,"2026-08-23 12:53:18",2318.9,2,muhammaduzair21
224,16727182,FinalSunFlower,"2026-08-23 06:30:29",2318.0,2,finalsunflower
225,16681405,"Yusuke Hayashi","2026-08-21 09:05:23",2318.0,2,yhay81
226,16684045,zekenoe,"2026-08-20 06:15:39",2317.6,2,zekenos
227,16752082,"Tian hao Qing Nano7ko","2026-08-23 03:58:36",2316.8,2,tianhaoqingnano7ko
228,16739419,danilka200300,"2026-08-23 07:54:11",2315.8,2,daniilsergeevda
229,16632566,maco-macoo,"2026-08-22 18:59:44",2315.7,2,macomacoo
230,16634952,"Igor Zharov","2026-08-20 14:28:13",2315.3,2,flexonafft
231,16637597,venks,"2026-08-21 16:01:29",2314.6,2,vterli
232,16642570,"Mathurin Ache","2026-08-23 07:45:49",2314.2,2,mathurinache
233,16687479,kowalskii,"2026-08-18 12:11:02",2310.8,2,anirudhkumaraheer
234,16630804,"Emre Cirak","2026-08-22 21:57:41",2308.4,2,biohack44
235,16622454,automatylicza,"2026-08-21 00:21:52",2306.0,2,automatylicza
236,16759705,2nod,"2026-08-23 03:42:04",2305.4,2,tsunoten
237,16722705,我的AI是豆包,"2026-08-18 18:35:22",2304.6,2,"haoxuanjng,rainhuang0220"
238,16666057,StopPlantingStartGameTheorying,"2026-08-22 21:30:31",2302.3,2,mymelodyenjoyer
239,16696762,SOSyuki,"2026-08-21 14:57:52",2301.7,2,sosyuki
240,16671017,"Pablo César Ruíz","2026-08-21 07:22:10",2300.4,2,pcruiher08
241,16676114,Gekkotron,"2026-08-21 18:27:20",2299.2,2,gekkotron
242,16709176,Efnutrrionpy,"2026-08-22 14:24:02",2297.5,2,efnutrrionpy
243,16734447,"Ali Bauyrzhan","2026-08-20 17:33:35",2294.7,2,alibauyrzhan
244,16699165,lime0001,"2026-08-18 13:42:05",2294.7,2,lime0001
245,16628664,"Anton Tikhonov","2026-08-17 16:05:18",2294.4,2,itwastony
246,16681601,Hanaro,"2026-08-15 03:08:49",2290.0,2,lucas040
247,16743074,LumenLiquidity,"2026-08-21 07:28:46",2289.1,2,giovannibaldon
248,16644303,"kevin zhou","2026-08-20 04:00:36",2287.9,2,kevinzhou66
249,16758882,mtmr_s1,"2026-08-23 11:49:44",2287.3,2,mtmrs1
250,16695046,"Soil Warriors","2026-08-23 16:17:16",2286.9,2,"aurax7,coolinlai,davidsarrat,pseree,zongzishuang"
251,16749034,digitalChaos,"2026-08-21 09:59:28",2286.5,2,digitalchaos666
252,16684748,dejavucry,"2026-08-22 10:03:52",2285.8,2,dejavucry
253,16685160,Yura,"2026-08-17 07:27:50",2285.6,2,yuratrubitsyn
254,16677597,InformaBook2,"2026-08-21 09:45:31",2284.0,2,informabook2
255,16735582,"Tumaini Makena","2026-08-18 06:01:09",2282.3,1,tumainimakena
256,16680144,AM,"2026-08-22 09:27:34",2281.1,2,adammekky
257,16742183,alessandrozonta,"2026-08-21 13:02:55",2280.5,2,azonta
258,16644578,"Team Name","2026-08-23 03:25:05",2278.0,2,baytree1238
259,16691572,"Lord Momo","2026-08-23 11:54:53",2277.1,2,stevenleehans
260,16661570,"sissoko cheick","2026-08-23 17:01:44",2275.3,2,sissokocheick
261,16689741,shinamonmon,"2026-08-22 16:15:24",2273.0,2,shinamonmon
262,16674312,yuxuan,"2026-08-20 00:19:17",2272.9,2,yuxuan1221
263,16656500,我的豆包是ai,"2026-08-23 04:42:38",2272.7,2,a982295350
264,16727404,Yichi,"2026-08-23 11:37:15",2272.7,2,yichi02
265,16637546,Forrest,"2026-08-23 13:44:40",2265.6,2,yinxiaogang
266,16642036,enddl22,"2026-08-22 06:45:11",2263.7,2,enddl22
267,16662696,"Cengizhan Tümer","2026-08-21 20:46:43",2263.5,2,cengizhantmer
268,16712258,"yaphel lee","2026-08-21 15:19:40",2260.7,2,yaphellee
269,16630839,steubk,"2026-08-21 21:55:39",2259.1,2,steubk
270,16636094,Hax2456,"2026-08-15 10:05:01",2258.9,2,hax2456
271,16712121,"Hai Dang","2026-08-17 14:30:19",2254.1,2,haidang2405
272,16727350,"T Hansda","2026-08-19 14:57:55",2253.7,2,hansda
273,16665641,"Alexander Shahramanyan","2026-08-22 07:07:46",2250.3,2,alexshah
274,16726064,"sana slama","2026-08-15 17:01:13",2247.8,1,sanaslamamm
275,16730728,"Le Trong Hieu","2026-08-18 01:04:19",2244.9,2,backtracking
276,16758982,Boredom,"2026-08-23 13:29:09",2243.0,2,cudacoding
277,16623408,shiggriculture,"2026-08-16 04:14:44",2242.8,2,shimishige
278,16730834,TomoyaM,"2026-08-23 15:00:20",2242.7,2,tomoyamiyaake
279,16694710,ponsuk,"2026-08-17 19:01:09",2240.6,2,ponsuk
280,16707562,Snipine,"2026-08-23 02:15:58",2239.8,2,boluosnow
281,16622319,"Roman Tamrazov 52","2026-08-21 07:51:48",2239.4,2,romantamrazov
282,16627600,Nat00,"2026-08-23 16:17:38",2239.0,2,natliablascoandreo
283,16660268,"Sébastien Mametz (Pixs)","2026-08-14 09:08:39",2238.7,2,sbastienmametzpixs
284,16654021,"Swachhith B","2026-08-21 21:26:06",2238.6,2,swachhithb
285,16734715,史永刚,"2026-08-19 01:34:54",2234.0,2,shizehao
286,16681007,AkiraOnojp,"2026-08-22 23:15:28",2231.2,2,akiraonojp
287,16746796,kaguramena,"2026-08-23 16:17:54",2231.1,2,kaguramena
288,16744127,Faiz,"2026-08-21 20:33:33",2230.5,2,souraditya26
289,16713007,"Jerry Hwa","2026-08-23 12:20:13",2229.3,2,jerryhwa
290,16657785,"Himanshu Kumar","2026-08-20 16:46:04",2229.1,2,himanshujha2812
291,16727103,sword3522,"2026-08-23 11:15:57",2228.2,2,sword3522
292,16691038,"animal crossing","2026-08-19 06:42:42",2227.2,2,hoonchoonc
293,16655277,GUAM,"2026-08-23 08:48:43",2226.8,2,"jeongminlee92,kmmmvs"
294,16715244,uri_kkyhr,"2026-08-15 04:53:37",2226.3,2,urikkyhr
295,16623577,"Jiayi Tang","2026-08-20 02:10:13",2226.1,2,mannguo
296,16671520,sci-shi,"2026-08-18 18:35:59",2224.9,2,scishi
297,16714134,"Raul Tinajero","2026-08-22 08:58:48",2224.7,2,raultinajeroo
298,16738899,Grayden_Lee,"2026-08-21 11:42:07",2224.1,2,haozelii
299,16680065,Vishodhan,"2026-08-14 23:46:15",2222.7,2,vishodhan
300,16676739,"Jonathan Zheng Jiahao","2026-08-20 09:05:06",2221.6,2,jonathanzhengjiahao
301,16719123,"Thomas Tschinkel","2026-08-23 09:17:28",2219.8,2,thomastschinkel
302,16675161,iVl44d,"2026-08-19 22:50:26",2215.7,2,ivl44d
303,16674347,"yuanzhe zhou","2026-08-21 14:43:23",2214.3,2,yuanzhezhou
304,16641183,"Team Name Pending","2026-08-17 10:39:36",2212.5,2,"abdaathaillahhadyan,oliverspiby"
305,16733297,sohasoha42,"2026-08-18 17:50:51",2212.0,2,sohasoha42
306,16692272,Ddere008,"2026-08-21 18:43:56",2211.6,2,ddere008
307,16639732,"Junbeom Lee23","2026-08-15 02:45:23",2208.8,2,junbeomlee23
308,16746025,Hamachi,"2026-08-22 20:33:51",2207.5,2,hamatz
309,16639796,rmizuta,"2026-08-22 15:48:42",2206.9,2,rmizuta
310,16719414,SahilKumarTolani,"2026-08-22 08:51:16",2206.4,2,sahilkumartolani
311,16654511,"Syed Shayan Ali Shah","2026-08-14 15:39:18",2205.7,2,dsshayan
312,16683193,Paami,"2026-08-21 02:21:25",2204.8,2,coldpaami
313,16732763,"Raihan Ramadistra","2026-08-18 13:59:22",2204.6,1,raihanramadistra
314,16634104,FarmGoose,"2026-08-23 07:53:50",2203.0,2,yizhanglou
315,16658038,Khanh,"2026-08-23 06:03:17",2202.7,2,khanhp142
316,16623608,"Dmitry Larko","2026-08-21 04:20:37",2202.2,2,dmitrylarko
317,16655704,heinado,"2026-08-22 03:29:07",2201.5,2,heinado
318,16634704,"Maham Haroon","2026-08-22 22:10:49",2199.7,2,mahamhc
319,16622842,Will,"2026-08-23 16:56:15",2198.8,2,wguesdon
320,16671607,"Chanhyuk Han","2026-08-22 07:56:01",2198.1,2,chanhyukhan
321,16724353,PrathamGupta,"2026-08-17 02:04:38",2198.0,2,prathamguptaaaaaaa
322,16688896,"JianYuan Deng","2026-08-22 19:00:32",2196.8,2,jianyuandeng
323,16716549,notoverkil,"2026-08-22 10:07:21",2196.6,2,notoverkil
324,16654995,"Artem Voronov","2026-08-23 02:57:19",2196.4,2,artemyvoronov
325,16719563,"GPT-5.6 Sol🏆","2026-08-22 15:57:57",2195.0,2,"ctfxiao,gaoruihua,otherworldly777,wennaliu2007,xgentle"
326,16662338,jaepyeocho,"2026-08-16 21:52:55",2194.7,2,jaepyeocho
