label,episode,opponent,seat,mine,theirs,rec_mine,rec_theirs,flipped
CARROT_SWAP=(),episode-94079902-replay,NIklitaCheporev,1,129831.0,133177.0,129831.0,133177.0,0
CARROT_SWAP=(),episode-94083373-replay,Gebreab K. Zewdie,1,112752.0,116344.0,112752.0,116344.0,0
CARROT_SWAP=(),episode-94085829-replay,Krzysztof Madziar,0,130945.0,141350.0,130945.0,141350.0,0
CARROT_SWAP=(),episode-94086726-replay,Izzoudine Mohamed KANTA,0,91344.0,98377.0,91344.0,98377.0,0
CARROT_SWAP=(),episode-94089395-replay,Ankit Hemant Lade,0,67162.0,70515.0,67162.0,70515.0,0
CARROT_SWAP=(),episode-94112306-replay,FinalSunFlower,1,112930.0,123310.0,112930.0,123310.0,0
CARROT_SWAP=(),episode-94133492-replay,James Felipe,0,101427.0,113655.0,101427.0,113655.0,0
CARROT_SWAP=(),episode-94147462-replay,XYZ,0,108012.0,122226.0,108012.0,122226.0,0
CARROT_SWAP=(),episode-94171901-replay,Fususu,0,100448.0,106101.0,100448.0,106101.0,0
CARROT_SWAP=(),episode-94194480-replay,Astraeus,1,57625.0,89693.0,57625.0,89693.0,0
CARROT_SWAP=(),episode-94198770-replay,Vaibhav Patel,0,114985.0,117309.0,114985.0,117309.0,0
CARROT_SWAP=(),episode-94199259-replay,Alperen Söylen,0,99563.0,110495.0,99563.0,110495.0,0
CARROT_SWAP=(),episode-94223143-replay,Chiranjieev,1,135527.0,140759.0,135527.0,140759.0,0
CARROT_SWAP=(),episode-94226759-replay,Shantanu Kesarkar,1,56975.0,58139.0,56975.0,58139.0,0
CARROT_SWAP=(),episode-94249446-replay,moss,1,110121.0,111363.0,110121.0,111363.0,0
CARROT_SWAP=(),episode-94262644-replay,Rilen T. L.,1,80632.0,81918.0,80632.0,81918.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93757069-replay,Harshith revuru,0,70886.0,52020.0,51762.0,52007.0,1
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93761159-replay,Saivedant Hava,1,70063.0,68926.0,67721.0,68926.0,1
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93781740-replay,Jince,1,59097.0,92078.0,58067.0,92068.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93788031-replay,Cary Jin,0,111956.0,113120.0,111947.0,113105.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93788202-replay,Jiayi Tang,1,125919.0,135892.0,125334.0,135865.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93788685-replay,iVl44d,1,117976.0,128996.0,117893.0,128973.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93789175-replay,Prajwal M,1,86909.0,86838.0,86219.0,86714.0,1
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93799715-replay,We are Charlie Brown,1,66255.0,68018.0,65305.0,67987.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93800883-replay,vijaikm,1,71717.0,72619.0,70792.0,72588.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93818931-replay,Jeff Marc E. Cadet,0,63064.0,86767.0,61212.0,86742.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93851015-replay,Maksim Borisov,0,93276.0,97303.0,92834.0,97271.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93879128-replay,Aadi,0,70670.0,74434.0,70412.0,74404.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93891311-replay,mandgeee,0,90322.0,102488.0,88669.0,102467.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93902117-replay,Kers Aoyagi,0,101993.0,110573.0,101824.0,110555.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93918571-replay,automatylicza,0,105395.0,114036.0,104847.0,114009.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93935341-replay,kay.liechtenstein,0,51699.0,55875.0,51511.0,55841.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-93993495-replay,Raef Guizani,0,57977.0,59583.0,58207.0,59567.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94032149-replay,Furious Monk,1,61695.0,91582.0,61491.0,91568.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94050542-replay,InformaBook2,0,124904.0,145928.0,124914.0,145895.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94050652-replay,vladee,0,52165.0,52487.0,47973.0,52467.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94053099-replay,Hak,1,84591.0,91822.0,85365.0,91806.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94061291-replay,Wufang Hong,1,94734.0,99848.0,94914.0,99812.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94066652-replay,yotsutose,1,49720.0,41972.0,40675.0,41817.0,1
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94079902-replay,NIklitaCheporev,1,129992.0,133196.0,129831.0,133177.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94083373-replay,Gebreab K. Zewdie,1,112462.0,116382.0,112752.0,116344.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94085829-replay,Krzysztof Madziar,0,131791.0,141369.0,130945.0,141350.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94086726-replay,Izzoudine Mohamed KANTA,0,90746.0,98396.0,91344.0,98377.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94089395-replay,Ankit Hemant Lade,0,70101.0,70546.0,67162.0,70515.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94112306-replay,FinalSunFlower,1,113098.0,123330.0,112930.0,123310.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94133492-replay,James Felipe,0,101083.0,113671.0,101427.0,113655.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94147462-replay,XYZ,0,107584.0,122257.0,108012.0,122226.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94171901-replay,Fususu,0,100620.0,106117.0,100448.0,106101.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94194480-replay,Astraeus,1,62627.0,89703.0,57625.0,89693.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94198770-replay,Vaibhav Patel,0,116662.0,117367.0,114985.0,117309.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94199259-replay,Alperen Söylen,0,99220.0,110519.0,99563.0,110495.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94223143-replay,Chiranjieev,1,135347.0,140740.0,135527.0,140759.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94226759-replay,Shantanu Kesarkar,1,57083.0,58155.0,56975.0,58139.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94249446-replay,moss,1,110305.0,111384.0,110121.0,111363.0,0
"CARROT_SWAP=((629,9),(633,7),(633,10),(633,11),(634,9),(635,6),(638,10),(639,5),(639,9),(641,0),(641,6),(645,5),(645,10))",episode-94262644-replay,Rilen T. L.,1,81458.0,81937.0,80632.0,81918.0,0
