episode,seat,team,score,opp_score,won,margin,hands_d5,hands_d10,hands_d15,hands_d20,hands_d25,hands_d30,quads_d5,quads_d10,quads_d15,quads_d20,quads_d25,quads_d30,money_d5,money_d10,money_d15,money_d20,money_d25,money_d30,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,peak_WHEAT,peak_CARROT,peak_TOMATO,peak_STRAWBERRY,peak_MELON,animals_GOOSE,animals_COW,animals_SHEEP,plant_total,first_melon_day,first_animal_day,quads_final,hands_final,act_total,act_move,act_pass,act_water,act_harvest,act_plant,act_care,act_feed,act_dig,act_fertilize,act_collect_fert,act_pickup,act_drop,act_place,act_build,move_share,pass_share,work_share,sold_WHEAT,sold_CARROT,sold_TOMATO,sold_STRAWBERRY,sold_MELON,sold_EGG,sold_MILK,sold_WOOL,sold_FERTILIZER,sold_total,sell_orders,buy_seed_orders,buy_product_orders
91275832,0,THUNDER THUNDER,100724,82794,1,17930,3,14,11,14,14,10,1,3,3,3,3,3,506,7564,21683,52743,80365,100724,141,0,0,34,17,54,0,0,33,12,0,10,7,192,0,0,3,10,7171,3058,1126,944,377,192,350,361,46,63,379,180,60,18,17,0.4264,0.157,0.4165,399,0,0,244,102,0,231,202,316,1494,189,66,149
91275832,1,anvai_agents,82794,100724,0,-17930,6,12,12,12,12,12,1,3,3,3,3,3,614,2313,19981,37618,60359,82794,66,0,0,44,21,31,0,0,40,11,0,8,6,131,0,0,3,12,7376,4120,400,849,338,131,308,319,27,107,318,339,80,26,14,0.5586,0.0542,0.3872,1123,13,4,390,182,8,423,252,410,2805,383,54,279
91276719,0,THUNDER THUNDER,52107,40418,1,11689,3,14,9,14,12,10,1,3,3,3,3,3,504,5839,13591,34000,39365,52107,140,0,0,39,17,59,0,0,38,12,0,8,6,196,0,0,3,10,6676,2837,1016,997,397,196,291,296,46,76,312,137,47,14,14,0.425,0.1522,0.4229,422,0,0,303,102,0,219,142,236,1424,157,64,152
91276719,1,nuggettttt,40418,52107,0,-11689,6,11,12,12,12,12,1,3,3,3,3,3,466,2056,15521,29714,32532,40418,66,0,0,44,21,32,0,0,40,11,0,8,6,131,0,0,3,12,7312,4115,351,848,337,131,308,319,28,107,317,339,84,14,14,0.5628,0.048,0.3892,1010,10,0,519,172,6,463,288,280,2748,407,54,291
91277603,0,Himanshu Kumar,81737,95258,0,-13521,1,8,11,14,12,11,1,2,3,3,3,3,1702,14543,15558,36369,65181,81737,108,0,0,42,24,40,0,0,42,12,0,8,6,174,0,0,3,11,6654,2940,1011,925,360,174,308,300,27,84,296,145,56,14,14,0.4418,0.1519,0.4062,305,0,0,320,144,0,214,148,212,1343,183,22,165
91277603,1,THUNDER THUNDER,95258,81737,1,13521,3,14,9,14,13,10,1,3,3,3,3,3,531,5024,14820,43743,75690,95258,145,0,0,39,17,59,0,0,38,12,0,8,4,201,0,0,3,10,6714,2873,1055,1014,388,201,280,285,46,75,298,132,42,12,13,0.4279,0.1571,0.415,423,0,0,297,102,0,220,132,223,1397,150,71,142
91277604,0,JinchengZhang1,38744,70092,0,-31348,6,10,12,12,12,12,1,3,3,3,3,3,601,2139,11640,24150,32576,38744,66,0,0,44,21,31,0,0,38,11,0,8,6,131,0,0,3,12,7355,4120,378,848,338,131,308,319,28,107,318,339,80,27,14,0.5602,0.0514,0.3884,1108,13,4,612,224,8,697,372,445,3483,478,54,279
91277604,1,THUNDER THUNDER,70092,38744,1,31348,3,14,9,14,12,10,1,3,3,3,3,3,504,5870,13758,35751,57492,70092,146,0,0,39,17,61,0,0,38,12,0,8,4,202,0,0,3,10,6782,2879,1096,1022,398,202,280,286,46,76,297,131,45,12,12,0.4245,0.1616,0.4139,438,0,0,303,102,0,218,132,221,1414,145,69,132
91278499,0,THUNDER THUNDER,90680,80886,1,9794,3,11,12,14,13,10,1,3,3,3,3,3,14,2,13670,48663,67641,90680,131,0,0,36,17,48,0,0,36,12,0,9,6,184,0,0,3,10,6885,3059,1009,945,369,184,315,307,39,72,330,166,57,18,15,0.4443,0.1466,0.4092,401,0,0,279,102,0,224,138,258,1402,181,70,143
91278499,1,CREART,80886,90680,0,-9794,5,9,9,11,12,11,1,3,3,3,3,3,997,4040,26565,50472,64155,80886,68,0,0,41,26,31,0,0,40,14,0,8,6,135,0,0,3,11,6759,3390,462,938,341,135,322,323,31,103,324,262,100,14,14,0.5016,0.0684,0.4301,191,0,0,270,132,0,230,164,236,1223,231,62,163
91279377,0,THUNDER THUNDER,80695,65014,1,15681,3,14,12,14,14,10,1,3,3,3,3,3,524,7140,23970,51645,64233,80695,149,0,0,31,19,58,0,0,31,14,0,10,7,199,0,0,3,10,7176,3018,1137,974,385,199,352,360,42,61,380,173,60,18,17,0.4206,0.1584,0.421,441,0,0,236,114,0,232,200,319,1542,185,66,152
91279377,1,Thần Thoại,65014,80695,0,-15681,1,8,13,14,14,6,1,2,3,3,3,3,960,10403,22626,41907,54249,65014,92,0,0,42,24,39,0,0,42,12,0,8,6,158,0,0,3,6,6901,3259,812,922,374,158,322,314,46,80,313,167,106,14,14,0.4723,0.1177,0.4101,824,0,0,313,144,0,237,164,233,1915,344,18,248
91280263,0,roma,69211,141535,0,-72324,1,8,11,14,10,8,1,2,3,3,3,3,1680,14853,13687,34487,51966,69211,106,0,0,42,24,40,0,0,42,12,0,8,6,172,0,0,3,8,6527,2851,1016,907,346,172,308,304,29,79,291,148,48,14,14,0.4368,0.1557,0.4075,318,0,0,286,144,0,213,152,212,1325,162,21,168
91280263,1,THUNDER THUNDER,141535,69211,1,72324,3,14,10,14,13,10,1,3,3,3,3,3,528,5226,17511,56240,105221,141535,144,0,0,38,17,58,0,0,37,12,0,9,6,199,0,0,3,10,7006,2961,1143,1001,399,199,305,309,44,74,327,158,56,15,15,0.4226,0.1631,0.4142,440,0,0,296,102,0,237,136,253,1464,176,69,146
91281151,0,NIklitaCheporev,98902,119721,0,-20819,1,8,11,14,12,11,1,2,3,3,3,3,1702,15261,17556,50775,72856,98902,108,0,0,42,24,40,0,0,42,12,0,8,6,174,0,0,3,11,6654,2940,1011,925,360,174,308,300,27,84,296,145,56,14,14,0.4418,0.1519,0.4062,284,0,0,320,144,0,214,148,219,1329,171,22,158
91281151,1,THUNDER THUNDER,119721,98902,1,20819,3,14,10,14,12,10,1,3,3,3,3,3,531,5141,18123,58182,87220,119721,146,0,0,38,17,58,0,0,37,12,0,10,4,201,0,0,3,10,6977,2998,1114,999,387,201,301,308,45,72,316,157,51,14,14,0.4297,0.1597,0.4106,434,0,0,279,102,0,239,132,244,1430,169,75,147
91282051,0,Eddy Despradel,135263,146692,0,-11429,5,9,9,11,12,11,1,3,3,3,3,3,940,4345,23528,53295,99318,135263,68,0,0,41,26,31,0,0,40,14,0,8,6,135,0,0,3,11,6759,3390,462,938,341,135,322,323,31,103,324,262,100,14,14,0.5016,0.0684,0.4301,191,0,0,270,132,0,230,164,236,1223,231,62,163
91282051,1,THUNDER THUNDER,146692,135263,1,11429,3,13,12,14,14,9,1,3,3,3,3,3,10,24,15893,55518,109700,146692,121,0,0,39,15,41,0,0,39,10,0,9,6,175,0,0,3,9,6925,3075,1095,935,368,175,299,294,35,78,317,165,56,16,17,0.444,0.1581,0.3978,402,0,0,298,90,0,230,124,239,1383,179,68,146
91282947,0,THUNDER THUNDER,96123,69361,1,26762,3,14,9,14,12,10,1,3,3,3,3,3,504,5879,14902,46908,71800,96123,146,0,0,37,19,61,0,0,36,14,0,10,4,202,0,0,3,10,6716,2868,1033,1019,386,202,285,290,43,72,303,138,49,14,14,0.427,0.1538,0.4191,459,0,0,285,114,0,218,132,231,1439,170,69,156
91282947,1,Md. Abdullah Al Mamun,69361,96123,0,-26762,6,10,12,12,12,12,1,3,3,3,3,3,601,2155,14501,34780,49684,69361,66,0,0,44,21,32,0,0,40,11,0,8,6,131,0,0,3,12,7355,4120,378,851,338,131,308,319,25,107,318,339,80,27,14,0.5602,0.0514,0.3884,1131,13,4,1049,311,8,979,469,445,4409,546,54,279
91283839,0,trantrikien239,83978,104890,0,-20912,1,8,13,14,14,6,1,2,3,3,3,3,930,10529,23199,50991,67380,83978,92,0,0,42,24,39,0,0,42,12,0,8,6,158,0,0,3,6,6901,3086,1049,922,374,158,322,314,42,80,254,167,105,14,14,0.4472,0.152,0.4008,820,0,0,317,156,0,237,172,191,1893,329,18,248
91283839,1,THUNDER THUNDER,104890,83978,1,20912,3,14,11,14,13,10,1,3,3,3,3,3,524,8012,24279,61418,84368,104890,150,0,0,32,19,57,0,0,31,14,0,10,7,201,0,0,3,10,7170,3033,1101,974,392,201,354,364,43,61,380,175,58,17,17,0.423,0.1536,0.4234,420,0,0,240,114,0,233,206,319,1532,184,65,141
91226389,0,Harshith revuru,69345,39202,1,30143,9,12,12,12,12,12,2,3,3,3,3,3,332,207,8818,26457,50035,69345,36,0,0,38,6,14,0,0,38,4,0,7,7,80,0,0,3,12,8154,5003,1190,480,191,80,309,320,43,9,124,372,5,14,14,0.6136,0.1459,0.2405,57,0,0,128,25,0,171,155,101,637,80,27,217
91226389,1,ceh,39202,69345,0,-30143,6,11,11,11,11,11,2,2,2,2,2,2,1271,212,9070,15785,25703,39202,71,19,2,8,23,22,4,1,4,12,2,12,2,123,0,9,2,11,7367,4126,1584,589,211,123,206,251,17,0,0,203,25,16,16,0.5601,0.215,0.2249,294,59,4,16,132,94,277,75,0,951,109,47,149
91227049,0,Harshith revuru,58476,64880,0,-6404,9,12,12,12,12,12,2,3,3,3,3,3,222,414,5534,19062,37138,58476,38,0,0,39,9,14,0,0,39,6,0,5,7,86,0,0,3,12,8155,4957,1357,512,191,86,278,277,44,5,127,290,5,12,14,0.6078,0.1664,0.2258,60,0,0,138,43,0,141,142,110,634,78,32,186
91227049,1,tehyoni,64880,58476,1,6404,4,11,11,11,11,11,1,2,3,3,3,3,208,1912,528,19367,43836,64880,18,0,0,29,12,10,0,0,29,6,0,8,6,59,0,0,3,11,7118,3447,1707,673,200,59,247,253,26,70,261,117,12,32,14,0.4843,0.2398,0.2759,142,0,0,149,54,0,148,111,182,786,267,23,41
91227955,0,dprinzensteiner,45927,71566,0,-25639,8,5,12,12,12,12,1,2,3,3,3,3,189,898,1914,19209,30017,45927,19,20,0,0,11,6,8,0,0,8,4,6,4,50,0,0,3,12,7406,5338,358,293,175,50,296,296,20,0,258,281,0,27,14,0.7208,0.0483,0.2309,113,33,0,0,54,174,141,72,249,836,227,26,71
91227955,1,Harshith revuru,71566,45927,1,25639,9,12,13,13,13,13,2,3,4,4,4,4,243,200,1188,12909,46133,71566,31,0,0,39,13,14,0,0,39,10,0,10,9,83,0,0,4,13,8490,5276,1133,524,190,83,302,363,46,6,118,406,5,19,19,0.6214,0.1335,0.2451,59,0,0,130,58,0,194,113,93,647,65,34,222
91228843,0,Harshith revuru,64969,42498,1,22471,9,12,12,12,12,12,2,3,3,3,3,3,239,239,4150,20886,45205,64969,38,0,0,38,12,14,0,0,38,10,0,5,7,88,0,0,3,12,8154,4996,1277,523,207,88,279,272,43,9,128,303,3,12,14,0.6127,0.1566,0.2307,64,0,0,130,56,0,136,146,107,639,72,37,184
91228843,1,Madhur Sabherwal,42498,64969,0,-22471,4,9,9,11,11,11,1,1,1,2,2,2,272,410,297,11908,28434,42498,52,11,0,16,6,19,2,0,16,6,2,7,6,85,8,0,2,11,6287,4392,102,441,179,85,254,292,13,31,228,185,45,23,17,0.6986,0.0162,0.2852,444,4,0,48,30,30,159,112,180,1007,183,37,76
91229719,0,Guruprasad Parasnis,67428,67805,0,-377,7,7,10,10,10,10,2,4,4,4,4,4,233,10127,11241,29683,50805,67428,142,41,0,37,27,31,13,0,34,23,0,1,6,247,0,10,4,10,6738,3635,596,1308,305,247,124,122,38,17,110,174,48,7,7,0.5395,0.0885,0.3721,477,70,0,139,162,0,18,122,98,1086,173,167,90
91229719,1,Harshith revuru,67805,67428,1,377,7,12,12,12,12,12,1,3,3,3,3,3,397,206,14300,33565,54852,67805,57,0,0,34,9,16,0,0,34,9,0,7,7,100,0,0,3,12,7930,5011,803,484,235,100,327,321,40,1,163,411,6,14,14,0.6319,0.1013,0.2668,92,0,0,97,26,0,166,162,149,692,81,47,211
91230603,0,T88,81068,65632,1,15436,5,10,11,11,11,11,2,3,3,3,3,3,3,9,14043,29298,60939,81068,202,2,0,22,93,25,1,0,11,23,0,8,5,319,0,0,3,11,6982,3312,124,1465,407,319,346,292,31,12,421,222,0,13,18,0.4744,0.0178,0.5079,169,0,0,46,172,0,153,128,386,1054,142,212,28
91230603,1,Harshith revuru,65632,81068,0,-15436,9,12,12,12,12,12,2,3,3,3,3,3,254,245,9919,24474,48514,65632,39,0,0,39,6,14,0,0,39,4,0,7,7,84,0,0,3,12,8165,5149,1167,492,172,84,281,298,51,4,109,322,8,14,14,0.6306,0.1429,0.2265,64,0,0,130,22,0,167,97,91,571,70,36,200
91231520,0,Harshith revuru,44826,58090,0,-13264,9,12,12,12,12,12,2,3,3,3,3,3,226,367,4629,18030,32110,44826,45,0,0,40,7,14,0,0,40,4,0,7,7,92,0,0,3,12,8158,5043,1248,515,175,92,275,285,46,2,134,309,6,14,14,0.6182,0.153,0.2289,72,0,0,80,22,0,131,147,118,570,73,41,193
91231520,1,Mark Holloway,58090,44826,1,13264,4,6,8,9,9,8,1,2,3,3,3,3,1376,1908,16472,22936,45271,58090,65,6,2,39,23,26,2,2,39,12,3,1,3,135,0,0,3,8,5658,3074,441,1033,318,135,125,127,26,37,113,189,25,7,8,0.5433,0.0779,0.3788,145,12,7,171,130,113,32,40,76,726,159,64,104
91232419,0,Harshith revuru,74814,77964,0,-3150,9,12,12,12,12,12,2,3,3,3,3,3,287,362,9258,29911,55327,74814,34,0,0,37,8,14,0,0,37,5,0,7,7,79,0,0,3,12,8154,4984,1215,478,204,79,304,319,41,4,138,353,7,14,14,0.6112,0.149,0.2398,60,0,0,125,35,0,177,144,120,661,81,31,218
91232419,1,Luc Mantoux,77964,74814,1,3150,1,0,10,10,11,10,2,2,3,4,4,4,0,370,364,2222,43135,77964,48,0,0,36,12,18,0,0,29,6,0,14,5,96,0,10,4,10,6153,3157,1151,503,225,96,186,201,0,6,151,257,51,150,19,0.5131,0.1871,0.2999,1941,0,0,115,72,0,187,11,145,2471,286,43,200
91233309,0,Harshith revuru,70467,56856,1,13611,9,12,12,12,12,12,2,3,3,3,3,3,265,269,8339,22171,43963,70467,39,0,0,40,6,14,0,0,40,4,0,7,6,85,0,0,3,12,8158,5152,1189,505,186,85,265,293,51,7,115,276,7,13,14,0.6315,0.1457,0.2227,59,0,0,139,26,0,160,93,95,572,71,30,189
91233309,1,Mohit Shirke,56856,70467,0,-13611,0,8,8,8,8,0,1,1,2,2,2,2,27,2285,6945,25538,43797,56856,26,35,4,6,21,14,22,4,6,12,0,4,2,92,0,0,2,0,5094,2779,614,582,281,92,132,143,23,87,125,172,52,6,6,0.5455,0.1205,0.3339,4673,86,26,45,90,0,85,61,0,5066,566,63,479
91234198,0,Harshith revuru,67937,45007,1,22930,9,12,12,12,12,12,2,3,3,3,3,3,271,434,6312,22641,45632,67937,34,0,0,40,7,14,0,0,40,4,0,7,7,81,0,0,3,12,8162,5179,1132,500,181,81,268,285,51,7,113,328,9,14,14,0.6345,0.1387,0.2268,55,0,0,135,19,0,155,110,92,566,65,26,202
91234198,1,Imran Ahamed,45007,67937,0,-22930,7,7,7,7,7,7,1,1,1,1,1,1,1513,3455,31091,33998,38390,45007,24,6,0,0,81,21,3,0,0,21,4,0,0,111,0,0,1,7,5518,2762,1324,577,172,111,119,119,2,0,116,179,29,4,4,0.5005,0.2399,0.2595,164,18,0,0,234,209,0,0,113,738,129,82,87
91235082,0,CHRISTOPHER CRILLY,28010,37890,0,-9880,9,9,12,12,12,0,1,2,3,3,3,3,98,70,5863,17823,21674,28010,31,0,0,19,7,8,0,0,11,7,0,8,6,57,0,0,3,0,5837,3044,590,383,170,57,260,291,31,546,271,166,0,14,14,0.5215,0.1011,0.3774,200,0,0,53,42,0,225,102,263,885,246,26,193
91235082,1,Harshith revuru,37890,28010,1,9880,9,12,12,12,12,12,2,3,3,3,3,3,217,311,4346,9259,21563,37890,41,0,0,35,10,14,0,0,35,7,0,5,7,86,0,0,3,12,8158,4934,1380,489,194,86,277,270,40,10,125,319,8,12,14,0.6048,0.1692,0.226,70,0,0,130,45,0,128,119,103,595,75,32,194
91235980,0,knadithyavr,41895,52061,0,-10166,3,4,11,11,11,0,1,1,3,3,3,3,30,332,13760,10980,25162,41895,62,4,3,38,28,22,3,3,34,20,6,1,8,135,0,0,3,0,5620,3372,226,619,191,135,90,117,75,58,117,582,3,18,17,0.6,0.0402,0.3598,166,3,8,176,149,28,0,55,29,614,61,51,28
91235980,1,Harshith revuru,52061,41895,1,10166,9,12,12,12,12,12,2,3,3,3,3,3,257,338,4978,17223,36351,52061,37,0,0,40,7,14,0,0,40,5,0,7,6,84,0,0,3,12,8165,5023,1288,505,170,84,286,293,56,2,108,317,6,13,14,0.6152,0.1577,0.2271,58,0,0,135,18,0,167,99,93,570,68,32,191
91236911,0,Harshith revuru,64345,77065,0,-12720,9,12,12,12,12,12,2,3,3,3,3,3,282,234,6992,19580,45759,64345,37,0,0,38,8,14,0,0,38,5,0,7,6,83,0,0,3,12,8162,5095,1233,491,178,83,280,299,46,6,110,310,4,13,14,0.6242,0.1511,0.2247,56,0,0,132,36,0,171,79,91,565,68,29,196
91236911,1,Mathijs Deelen,77065,64345,1,12720,10,8,12,12,12,12,1,2,3,3,3,3,312,31,12003,30641,57679,77065,58,0,0,43,19,10,0,0,40,12,0,8,8,120,0,0,3,12,7941,4018,538,752,315,120,597,441,91,56,725,243,12,16,17,0.506,0.0677,0.4263,4,0,0,102,47,0,207,194,284,838,86,43,129
91237771,0,Yuta Tomimasu,70233,68270,1,1963,9,9,11,11,11,11,2,2,3,3,3,3,663,3873,6611,23515,48084,70233,68,23,22,18,19,12,5,12,18,15,0,6,5,150,3,0,3,11,7696,3473,1798,964,312,150,207,220,27,0,212,80,230,11,12,0.4513,0.2336,0.3151,132,46,78,52,114,0,131,113,212,878,330,137,139
91237771,1,Harshith revuru,68270,70233,0,-1963,7,12,12,12,12,12,1,3,3,3,3,3,367,227,12228,32982,53316,68270,45,0,0,26,9,16,0,0,26,9,0,7,7,80,0,0,3,12,7929,4883,1011,396,232,80,340,336,33,9,185,386,10,14,14,0.6158,0.1275,0.2567,71,0,0,101,36,0,193,158,162,721,85,39,239
91238674,0,Speedrun retirement,85057,75120,1,9937,3,8,13,12,13,0,1,2,3,3,3,3,906,7947,14837,40973,59046,85057,147,0,0,11,10,36,0,0,8,10,0,10,7,168,0,0,3,0,6683,4217,211,856,212,168,252,260,39,0,256,159,17,19,17,0.631,0.0316,0.3374,4885,0,0,34,60,0,126,139,256,5500,435,111,339
91238674,1,Harshith revuru,75120,85057,0,-9937,9,12,12,12,12,12,2,3,3,3,3,3,231,272,7691,24284,54865,75120,41,0,0,35,13,14,0,0,35,10,0,7,7,89,0,0,3,12,8155,5048,1171,503,183,89,303,302,41,4,145,330,8,14,14,0.619,0.1436,0.2374,56,0,0,95,51,0,177,141,127,647,81,44,195
91239571,0,t@got@go,47577,51698,0,-4121,5,6,10,10,10,10,2,2,3,3,3,3,749,551,10109,20542,29167,47577,152,0,0,0,58,27,0,0,0,37,0,11,0,210,0,5,3,10,6025,2882,620,1270,252,210,207,212,27,0,191,113,18,11,12,0.4783,0.1029,0.4188,506,0,0,0,193,0,209,0,182,1090,58,85,44
91239571,1,Harshith revuru,51698,47577,1,4121,9,12,12,12,12,12,2,3,3,3,3,3,394,213,7398,20615,37067,51698,34,0,0,35,4,14,0,0,35,4,0,7,7,73,0,0,3,12,8160,5076,1163,439,188,73,313,321,37,8,122,382,10,14,14,0.6221,0.1425,0.2354,59,0,0,127,22,0,177,144,100,629,74,26,210
91240461,0,Harsha Vardhan,81867,74966,1,6901,1,10,10,12,12,9,1,1,3,3,3,3,429,246,5522,11870,47320,81867,26,0,9,28,33,20,0,9,28,21,0,10,0,96,0,0,3,9,5521,3401,399,608,159,96,214,195,1,54,215,159,0,10,10,0.616,0.0723,0.3117,58,0,39,180,140,0,165,0,44,626,75,55,41
91240461,1,Harshith revuru,74966,81867,0,-6901,9,12,12,12,12,12,2,3,3,3,3,3,287,220,6596,22963,47727,74966,36,0,0,38,7,14,0,0,38,4,0,7,7,81,0,0,3,12,8156,5049,1212,485,186,81,293,315,44,4,131,321,7,14,14,0.6191,0.1486,0.2323,59,0,0,126,22,0,174,138,113,632,77,31,198
91241379,0,Harshith revuru,49597,35153,1,14444,9,12,12,12,12,12,2,3,3,3,3,3,292,294,2512,11017,31682,49597,40,0,0,39,7,14,0,0,39,4,0,5,7,86,0,0,3,12,8165,5054,1325,499,169,86,267,273,50,5,112,288,11,12,14,0.619,0.1623,0.2187,55,0,0,138,21,0,100,144,95,553,68,32,196
91241379,1,Pat,35153,49597,0,-14444,7,7,7,7,7,6,1,1,1,1,1,1,369,2255,22309,26522,34680,35153,12,0,0,0,22,7,0,0,0,11,0,14,0,34,0,0,1,6,5414,2201,1914,221,85,34,245,270,3,0,320,65,28,14,14,0.4065,0.3535,0.2399,125,0,0,0,132,0,269,0,313,839,78,20,50
91242269,0,Harshith revuru,80969,77895,1,3074,9,12,12,12,12,12,2,3,3,3,3,3,221,201,4916,21911,54812,80969,39,0,0,40,5,14,0,0,40,4,0,7,7,84,0,0,3,12,8155,5072,1190,496,195,84,293,293,49,7,109,334,5,14,14,0.6219,0.1459,0.2321,60,0,0,135,21,0,177,110,88,591,74,32,201
91242269,1,Richard G Atkinson,77895,80969,0,-3074,7,7,7,7,7,0,1,1,1,1,1,1,234,3252,35566,41558,59961,77895,2,0,0,20,21,1,0,0,20,20,0,4,0,43,0,0,1,0,5331,2158,2239,347,140,43,109,109,6,0,107,63,2,4,4,0.4048,0.42,0.1752,22,0,0,76,115,0,135,0,107,455,56,20,89
91243167,0,Alvaro Llamojha,54273,52837,1,1436,6,10,10,10,10,0,1,2,3,3,3,3,852,668,13704,18589,38323,54273,105,0,0,25,38,24,0,0,25,25,0,8,4,168,0,0,3,0,6644,3875,220,1202,249,168,224,227,40,0,217,161,36,12,13,0.5832,0.0331,0.3837,667,0,0,43,127,0,124,49,180,1190,111,90,34
91243167,1,Harshith revuru,52837,54273,0,-1436,9,12,13,13,13,13,2,3,4,4,4,4,306,347,494,12552,35654,52837,35,0,0,40,6,14,0,0,40,5,0,10,9,81,0,0,4,13,8488,5398,1133,495,189,81,296,304,44,7,124,374,5,19,19,0.636,0.1335,0.2306,56,0,0,122,22,0,137,153,99,589,70,30,214
91244063,0,Harshith revuru,69611,84623,0,-15012,9,12,12,12,12,12,2,3,3,3,3,3,226,281,8022,23025,49835,69611,31,0,0,37,8,14,0,0,37,5,0,7,7,76,0,0,3,12,8152,5014,1193,471,197,76,301,315,41,8,138,366,4,14,14,0.6151,0.1463,0.2386,58,0,0,120,35,0,177,143,116,649,76,32,205
