submission_id,description,episode_id,create_time,seat,reward,opponent,opponent_submission_id,opponent_reward,margin,outcome
55359246,Better version,91103178,2026-08-08T20:08:05.855000,1,12171,andres555,55324350,31748,-19577,LOSS
55359246,Better version,91104074,2026-08-08T20:12:06.885000,0,23000,vasujain7,55277363,16658,6342,WIN
55359246,Better version,91104948,2026-08-08T20:16:06.116000,0,14765,Petru-Mihai Craciun,55273437,57933,-43168,LOSS
55359246,Better version,91105845,2026-08-08T20:20:05.575000,1,22809,Yudha Eka Saputra,55248256,17727,5082,WIN
55359246,Better version,91106731,2026-08-08T20:24:06.087000,1,29515,VicD,55350725,37872,-8357,LOSS
55359246,Better version,91107637,2026-08-08T20:28:05.892000,1,13110,Jan Moilanen,55359127,33541,-20431,LOSS
55359246,Better version,91108540,2026-08-08T20:32:08.006000,1,21699,Afia Animah Fosu,55247345,17784,3915,WIN
55359246,Better version,91109430,2026-08-08T20:36:06.039000,1,22402,Alex Kapend,55251523,26314,-3912,LOSS
55359246,Better version,91110340,2026-08-08T20:40:05.720000,1,15868,Mobeen Fatima,55164275,19142,-3274,LOSS
55359246,Better version,91111242,2026-08-08T20:44:05.884000,0,18761,Kunal Rout,55272513,24251,-5490,LOSS
55359246,Better version,91112137,2026-08-08T20:48:05.874000,1,9650,Jia Chen,55250240,27828,-18178,LOSS
55359246,Better version,91113043,2026-08-08T20:52:08.181000,1,14810,fatariq,55247840,24678,-9868,LOSS
55359246,Better version,91120915,2026-08-08T21:28:05.570000,0,23077,Universal Entropy,55329060,8908,14169,WIN
55359246,Better version,91124245,2026-08-08T21:44:04.840000,0,29900,Hyezir4,55360565,6214,23686,WIN
55359246,Better version,91130530,2026-08-08T22:12:10.488000,1,712,Ronel maamoc,55347246,7920,-7208,LOSS
55359246,Better version,91171768,2026-08-09T01:20:09.578000,1,20466,sarthak gupta1303,55267742,18689,1777,WIN
55361835,Market-aware route v3,91141592,2026-08-08T23:04:08.403000,1,36086,Hồ Khánh Duy,55236613,24619,11467,WIN
55361835,Market-aware route v3,91142449,2026-08-08T23:08:08.304000,1,24288,primal,55307461,61489,-37201,LOSS
55361835,Market-aware route v3,91143334,2026-08-08T23:12:14.898000,0,15477,Yifan Yang 135,55303287,49495,-34018,LOSS
55361835,Market-aware route v3,91144221,2026-08-08T23:16:08.135000,0,50714,nrg,55249253,9641,41073,WIN
55361835,Market-aware route v3,91145073,2026-08-08T23:20:07.946000,1,39611,As Wasti,55362039,78571,-38960,LOSS
55361835,Market-aware route v3,91145092,2026-08-08T23:20:07.965000,0,58614,Rajan Nagarajan,55140836,72641,-14027,LOSS
55361835,Market-aware route v3,91145986,2026-08-08T23:24:07.718000,1,59018,Chase Martyn,55338579,26514,32504,WIN
55361835,Market-aware route v3,91146864,2026-08-08T23:28:08.319000,0,49319,Victor's Team,55301644,65154,-15835,LOSS
55361835,Market-aware route v3,91147754,2026-08-08T23:32:10.634000,1,59979,Abhay sarkar,55273080,12284,47695,WIN
55361835,Market-aware route v3,91148635,2026-08-08T23:36:07.736000,1,55453,Isaac Diaz Lopez,55358807,13554,41899,WIN
55361835,Market-aware route v3,91149516,2026-08-08T23:40:08.186000,0,48632,ZeD,55280350,47247,1385,WIN
55361835,Market-aware route v3,91150398,2026-08-08T23:44:07.935000,0,46090,Lebansty Valan,55286040,40235,5855,WIN
55361835,Market-aware route v3,91151284,2026-08-08T23:48:07.848000,1,50793,Narayan Sharan,55329867,42013,8780,WIN
55361835,Market-aware route v3,91152172,2026-08-08T23:52:09.379000,0,45696,Yash Barhanpurkar,55343306,24925,20771,WIN
55361835,Market-aware route v3,91153059,2026-08-08T23:56:07.937000,0,57190,Giampietro Pregnolato,55346238,53804,3386,WIN
55361835,Market-aware route v3,91153941,2026-08-09T00:00:08.002000,1,44258,wata,55208559,107996,-63738,LOSS
55361835,Market-aware route v3,91154915,2026-08-09T00:04:08.549000,1,43103,Srish Jana,55304693,64001,-20898,LOSS
55361835,Market-aware route v3,91155852,2026-08-09T00:08:09.027000,0,45520,Galagala,55331641,114027,-68507,LOSS
55361835,Market-aware route v3,91156741,2026-08-09T00:12:10.175000,1,41288,yutoAb,55184587,59903,-18615,LOSS
55361835,Market-aware route v3,91157569,2026-08-09T00:16:08.346000,1,37740,Alexander Buslaev,55362239,67059,-29319,LOSS
55361835,Market-aware route v3,91157644,2026-08-09T00:16:08.491000,1,52807,dprinzensteiner,55271594,51748,1059,WIN
55361835,Market-aware route v3,91158541,2026-08-09T00:20:08.349000,0,38796,Nithin Nambi,55303722,28989,9807,WIN
55361835,Market-aware route v3,91159419,2026-08-09T00:24:08.715000,1,37722,Russell Kirk,55223531,49235,-11513,LOSS
55361835,Market-aware route v3,91160209,2026-08-09T00:28:08.313000,0,56139,Marc Dakuginow,55362245,102728,-46589,LOSS
55361835,Market-aware route v3,91160307,2026-08-09T00:28:08.432000,0,51204,SILVISTON EMMANUEL,55291263,64666,-13462,LOSS
55361835,Market-aware route v3,91187625,2026-08-09T02:32:10.591000,1,38907,ScriptRed,55363031,24375,14532,WIN
55361835,Market-aware route v3,91199701,2026-08-09T03:28:08.384000,1,41997,Soledad Santiago,55365631,69629,-27632,LOSS
55364717,Unlabeled v4,91180291,2026-08-09T02:00:07.971000,0,92916,Xmeeeee,55246576,37136,55780,WIN
55364717,Unlabeled v4,91181165,2026-08-09T02:04:07.812000,1,36552,Artem Prokhorov,55146809,62727,-26175,LOSS
55364717,Unlabeled v4,91182066,2026-08-09T02:08:08.019000,1,95495,Shreyash_Automation,55261119,38640,56855,WIN
55364717,Unlabeled v4,91182940,2026-08-09T02:12:10.281000,1,35843,Kyle,55364915,112233,-76390,LOSS
55364717,Unlabeled v4,91183833,2026-08-09T02:16:08.212000,0,81600,Recep Öztürk,55297295,56100,25500,WIN
55364717,Unlabeled v4,91184715,2026-08-09T02:20:08.638000,0,23914,A.S.TENSHU,55331353,33923,-10009,LOSS
55364717,Unlabeled v4,91185607,2026-08-09T02:24:08.388000,1,44294,Chong Xuan Ng,55354489,44720,-426,LOSS
55364717,Unlabeled v4,91186507,2026-08-09T02:28:08.698000,0,78600,Nafis Fuad Shahid,55279095,25799,52801,WIN
55364717,Unlabeled v4,91187392,2026-08-09T02:32:10.182000,0,86245,ACd Rooy,55314752,55556,30689,WIN
55364717,Unlabeled v4,91188267,2026-08-09T02:36:10.348000,0,24748,Yuelin Bai,55188868,15128,9620,WIN
55364717,Unlabeled v4,91189150,2026-08-09T02:40:09.598000,1,59384,nikesh23,55338229,27034,32350,WIN
55364717,Unlabeled v4,91190026,2026-08-09T02:44:07.920000,0,70739,Meet Parekh,55329328,50740,19999,WIN
55364717,Unlabeled v4,91190925,2026-08-09T02:48:08.009000,0,29363,stpete_ishii,55201329,47900,-18537,LOSS
55364717,Unlabeled v4,91191821,2026-08-09T02:52:10.897000,0,51966,Kaminoko,55314899,70242,-18276,LOSS
55364717,Unlabeled v4,91192702,2026-08-09T02:56:23.290000,1,94296,Aotokitsuruya,55348077,75964,18332,WIN
55364717,Unlabeled v4,91193596,2026-08-09T03:00:08.018000,0,52838,Nguyễn Phúc Gia Bảo,55301005,43987,8851,WIN
55364717,Unlabeled v4,91194478,2026-08-09T03:04:08.081000,0,54524,iiTz_AK,55341617,56864,-2340,LOSS
55364717,Unlabeled v4,91195360,2026-08-09T03:08:08.017000,0,76483,LeiYang,55215094,49705,26778,WIN
55364717,Unlabeled v4,91196258,2026-08-09T03:12:10.628000,0,51568,habe.sq,55342322,18072,33496,WIN
55364717,Unlabeled v4,91197131,2026-08-09T03:16:08.122000,0,24453,SpiralTip,55352129,40989,-16536,LOSS
55364717,Unlabeled v4,91197873,2026-08-09T03:20:07.960000,0,51806,TIM,55366229,125153,-73347,LOSS
55364717,Unlabeled v4,91198040,2026-08-09T03:20:08.232000,1,89125,Ash0666,55355116,62457,26668,WIN
55364717,Unlabeled v4,91198941,2026-08-09T03:24:07.901000,0,30388,stpete_ishii,55211498,49656,-19268,LOSS
55364717,Unlabeled v4,91199835,2026-08-09T03:28:08.585000,1,37147,Agrofitting,55360016,68131,-30984,LOSS
55364717,Unlabeled v4,91200729,2026-08-09T03:32:10.831000,0,21199,nasuuuuun,55213912,10364,10835,WIN
55364717,Unlabeled v4,91201611,2026-08-09T03:36:08.073000,1,92597,github/shepsci/kaggle-skill,55219479,93931,-1334,LOSS
55364717,Unlabeled v4,91202511,2026-08-09T03:40:08.816000,1,53163,Symekah Shadrack Basweti,55266833,26333,26830,WIN
55364717,Unlabeled v4,91210527,2026-08-09T04:16:11.055000,0,59425,Audric LOKO,55303268,62311,-2886,LOSS
55364717,Unlabeled v4,91212152,2026-08-09T04:24:08.698000,1,48459,Yifan Yang 135,55366193,28757,19702,WIN
55367754,Unlabeled v5,91214660,2026-08-09T04:36:08.659000,1,92660,RonitKhanna333,55296674,15278,77382,WIN
55367754,Unlabeled v5,91215544,2026-08-09T04:40:08.373000,1,77512,zzangsunghyeon,55355373,62567,14945,WIN
55367754,Unlabeled v5,91216424,2026-08-09T04:44:08.727000,0,61358,MugaBros,55213058,82374,-21016,LOSS
55367754,Unlabeled v5,91217346,2026-08-09T04:48:09.368000,1,62960,Farfadet,55293977,74096,-11136,LOSS
55367754,Unlabeled v5,91218235,2026-08-09T04:52:10.590000,1,84542,Marc-Luca ,55361342,41903,42639,WIN
55367754,Unlabeled v5,91219135,2026-08-09T04:56:07.550000,1,71998,Vincent Pan,55367741,62967,9031,WIN
55367754,Unlabeled v5,91220013,2026-08-09T05:00:07.844000,1,49980,morality0707,55368250,138200,-88220,LOSS
55367754,Unlabeled v5,91220841,2026-08-09T05:04:07.812000,0,42926,Akhil Chinta,55368283,110720,-67794,LOSS
55367754,Unlabeled v5,91220906,2026-08-09T05:04:07.880000,1,52459,Kakarott 10,55294617,74444,-21985,LOSS
55367754,Unlabeled v5,91221808,2026-08-09T05:08:07.931000,0,60100,Jasper Jiss,55360317,33408,26692,WIN
55367754,Unlabeled v5,91222700,2026-08-09T05:12:09.458000,0,69520,Uttam Limbani,55320431,43192,26328,WIN
55367754,Unlabeled v5,91223600,2026-08-09T05:16:07.696000,1,76289,Ahmed Bootaan,55304228,83510,-7221,LOSS
55367754,Unlabeled v5,91224527,2026-08-09T05:20:07.914000,0,17453,Farfadet,55293977,15525,1928,WIN
55367754,Unlabeled v5,91225404,2026-08-09T05:24:07.592000,1,81691,ytddsyt1214,55285351,97775,-16084,LOSS
55367754,Unlabeled v5,91226206,2026-08-09T05:28:07.836000,1,20680,Pratik Priyanshu,55329193,24043,-3363,LOSS
55367754,Unlabeled v5,91227197,2026-08-09T05:32:08.898000,1,64109,つるげーねふ,55360663,51171,12938,WIN
55367754,Unlabeled v5,91228095,2026-08-09T05:36:08.149000,1,61496,Nihal l.suvarna,55286917,67315,-5819,LOSS
55367754,Unlabeled v5,91228998,2026-08-09T05:40:08.110000,1,62270,Homii_N,55359336,53625,8645,WIN
55367754,Unlabeled v5,91229878,2026-08-09T05:44:07.699000,1,31981,Nika Chaduneli,55329141,39762,-7781,LOSS
55367754,Unlabeled v5,91230774,2026-08-09T05:48:07.794000,0,66225,Luke Stafford,55362384,57665,8560,WIN
55367754,Unlabeled v5,91231678,2026-08-09T05:52:10.807000,0,58565,Asakawa Ruriko,55345416,54459,4106,WIN
55367754,Unlabeled v5,91232565,2026-08-09T05:56:10.913000,1,37006,141,55347250,37585,-579,LOSS
55367754,Unlabeled v5,91233447,2026-08-09T06:00:08.090000,0,71693,kiro,55274378,77787,-6094,LOSS
55367754,Unlabeled v5,91234339,2026-08-09T06:04:08.158000,0,58507,olivbhxf,55291730,50240,8267,WIN
55367754,Unlabeled v5,91235228,2026-08-09T06:08:09.110000,0,56590,Joe Hall,55303139,53464,3126,WIN
55367754,Unlabeled v5,91236115,2026-08-09T06:12:09.908000,1,34452,Syed Asad Ali,55359878,17715,16737,WIN
55367754,Unlabeled v5,91237006,2026-08-09T06:16:08.125000,1,32192,"No Free Lunch, Only Melons",55145050,55475,-23283,LOSS
55367754,Unlabeled v5,91239720,2026-08-09T06:28:08.098000,1,78453,Lormann ,55322297,35419,43034,WIN
55367754,Unlabeled v5,91247671,2026-08-09T07:04:12.237000,0,54201,nobody,55368852,64533,-10332,LOSS
55367754,Unlabeled v5,91274374,2026-08-09T09:04:11.426000,1,69823,VicD,55353750,79102,-9279,LOSS
55367754,Unlabeled v5,91282284,2026-08-09T09:40:08.431000,0,37694,Sepideh Rahmati,55372884,24395,13299,WIN
55367754,Unlabeled v5,91285680,2026-08-09T09:56:08.077000,0,97462,Mehmet Ensar Çetin,55374786,0.0,97462.0,WIN
55367754,Unlabeled v5,91291048,2026-08-09T10:20:08.395000,1,28572,"Seok, Jeongeum",55375153,100890,-72318,LOSS
55367754,Unlabeled v5,91341577,2026-08-09T14:04:10.234000,1,83543,Alejandro Betato,55361021,74760,8783,WIN
55368998,Rank1 hybrid ripple v1,91226389,2026-08-09T05:28:08.030000,0,69345,ceh,55350306,39202,30143,WIN
55368998,Rank1 hybrid ripple v1,91227049,2026-08-09T05:32:08.680000,0,58476,tehyoni,55311588,64880,-6404,LOSS
55368998,Rank1 hybrid ripple v1,91227955,2026-08-09T05:36:07.981000,1,71566,dprinzensteiner,55272227,45927,25639,WIN
55368998,Rank1 hybrid ripple v1,91228843,2026-08-09T05:40:07.909000,0,64969,Madhur Sabherwal,55337889,42498,22471,WIN
55368998,Rank1 hybrid ripple v1,91229719,2026-08-09T05:44:07.488000,1,67805,Guruprasad Parasnis,55258591,67428,377,WIN
55368998,Rank1 hybrid ripple v1,91230603,2026-08-09T05:48:07.516000,1,65632,T88,55270069,81068,-15436,LOSS
55368998,Rank1 hybrid ripple v1,91231520,2026-08-09T05:52:10.608000,0,44826,Mark Holloway,55336156,58090,-13264,LOSS
55368998,Rank1 hybrid ripple v1,91232419,2026-08-09T05:56:10.729000,0,74814,Luc Mantoux,55354089,77964,-3150,LOSS
55368998,Rank1 hybrid ripple v1,91233309,2026-08-09T06:00:07.905000,0,70467,Mohit Shirke,55330799,56856,13611,WIN
55368998,Rank1 hybrid ripple v1,91234198,2026-08-09T06:04:07.919000,0,67937,Imran Ahamed,55258659,45007,22930,WIN
55368998,Rank1 hybrid ripple v1,91235082,2026-08-09T06:08:08.928000,1,37890,CHRISTOPHER CRILLY,55298299,28010,9880,WIN
55368998,Rank1 hybrid ripple v1,91235980,2026-08-09T06:12:09.686000,1,52061,knadithyavr,55274498,41895,10166,WIN
55368998,Rank1 hybrid ripple v1,91236911,2026-08-09T06:16:08.015000,0,64345,Mathijs Deelen,55254438,77065,-12720,LOSS
55368998,Rank1 hybrid ripple v1,91237771,2026-08-09T06:20:07.901000,1,68270,Yuta Tomimasu,55308026,70233,-1963,LOSS
55368998,Rank1 hybrid ripple v1,91238674,2026-08-09T06:24:07.894000,1,75120,Speedrun retirement,55347078,85057,-9937,LOSS
55368998,Rank1 hybrid ripple v1,91239571,2026-08-09T06:28:07.884000,1,51698,t@got@go,55294237,47577,4121,WIN
55368998,Rank1 hybrid ripple v1,91240461,2026-08-09T06:32:12.631000,1,74966,Harsha Vardhan,55267878,81867,-6901,LOSS
55368998,Rank1 hybrid ripple v1,91241379,2026-08-09T06:36:07.784000,0,49597,Pat,55295584,35153,14444,WIN
55368998,Rank1 hybrid ripple v1,91242269,2026-08-09T06:40:07.827000,0,80969,Richard G Atkinson,55253558,77895,3074,WIN
55368998,Rank1 hybrid ripple v1,91243167,2026-08-09T06:44:07.916000,1,52837,Alvaro Llamojha,55359560,54273,-1436,LOSS
55368998,Rank1 hybrid ripple v1,91244063,2026-08-09T06:48:07.990000,0,69611,Nguyễn Phúc Gia Bảo,55301661,84623,-15012,LOSS
55368998,Rank1 hybrid ripple v1,91244998,2026-08-09T06:52:11.248000,0,91729,F4,55264206,92528,-799,LOSS
55368998,Rank1 hybrid ripple v1,91245897,2026-08-09T06:56:08.587000,1,57377,Roberto Garcia,55353904,48803,8574,WIN
55368998,Rank1 hybrid ripple v1,91246792,2026-08-09T07:00:08.790000,1,55660,Ayush Roy,55305098,56995,-1335,LOSS
55368998,Rank1 hybrid ripple v1,91254768,2026-08-09T07:36:09.034000,0,44559,Gabriele Giacometti,55369831,49543,-4984,LOSS
55368998,Rank1 hybrid ripple v1,91285083,2026-08-09T09:52:10.179000,1,47243,Versilogic,55302323,39649,7594,WIN
55368998,Rank1 hybrid ripple v1,91299082,2026-08-09T10:56:08.042000,0,51589,Friaseus ,55376236,40967,10622,WIN
55368998,Rank1 hybrid ripple v1,91323460,2026-08-09T12:44:08.441000,0,59438,Ruben Maya,55377868,28048,31390,WIN
55368998,Rank1 hybrid ripple v1,91325985,2026-08-09T12:56:07.751000,0,59748,Tianfang Li,55379154,144897,-85149,LOSS
55368998,Rank1 hybrid ripple v1,91337981,2026-08-09T13:48:09.986000,0,55713,MarvelousXun,55205956,69308,-13595,LOSS
55368998,Rank1 hybrid ripple v1,91345890,2026-08-09T14:24:09.382000,0,79338,MoongladeAI,55380710,48779,30559,WIN
