episode,team_a,score_a,team_b,score_b
106818235,Mengfei Li,98820,Otter Vibe,94902
106818377,binghua,135332,Matthew Huang,122267
106819193,THUNDER THUNDER,63608,Otter Vibe,85060
106820149,Otter Vibe,95774,自己找差距,96242
106820397,carbonapi,101573,自己找差距,106983
106821108,binghua,110380,Otter Vibe,119180
106822021,AI是我的豆包,70374,JustinLee,63514
106822057,Otter Vibe,114955,Matthew Huang,125503
106823028,Otter Vibe,123758,Ad Space Available,128434
106823287,SpaTaro,120353,Matthew Huang,130431
106823979,Otter Vibe,109691,自己找差距,107264
106824217,SpaTaro,115536,Otter Vibe,114129
106824954,Matthew Huang,96913,AI是我的豆包,94586
106824970,kwa,76637,Otter Vibe,105468
106825216,Mengfei Li,70781,SpaTaro,63610
106825938,Ad Space Available,80823,Otter Vibe,85876
106826904,SpaTaro,91892,Otter Vibe,95174
106827849,Otter Vibe,111556,Ad Space Available,96227
106828029,binghua,70686,自己找差距,66074
106828694,Mengfei Li,144551,Follow Me Gradient,118029
106828804,Matthew Huang,88151,Otter Vibe,87707
106829767,Ad Space Available,132154,Otter Vibe,128923
106829776,Jun_value,104581,Matthew Huang,109797
106829955,Matthew Huang,81727,Tarang222,82923
106830724,JustinLee,87144,Otter Vibe,101534
106831672,Mengfei Li,96341,Otter Vibe,97141
106832647,Otter Vibe,117605,Mengfei Li,112449
106832731,SpaTaro,112426,Ad Space Available,86543
106833620,Otter Vibe,107457,SpaTaro,103658
106834569,Otter Vibe,92515,SpaTaro,86151
106836550,binghua,88638,carbonapi,79530
106838435,binghua,108309,Matthew Huang,104043
106840026,Subin An,121550,SpaTaro,124113
106841267,Mengfei Li,89350,carbonapi,91276
106841276,JustinLee,122599,Ad Space Available,116902
106841278,SpaTaro,84814,Matthew Huang,86014
106843124,binghua,92947,Otter Vibe,102861
106843869,Subin An,145253,JustinLee,151349
106844481,track,77840,Suliman Tadros,93115
106845775,Matthew Huang,86335,Subin An,87256
106849808,binghua,82134,Mengfei Li,78499
106849813,Ad Space Available,85550,AI是我的豆包,77355
106849815,Matthew Huang,78485,kwa,67116
106849823,Jun_value,119745,SpaTaro,125082
106850628,carbonapi,116344,Otter Vibe,110469
106852733,carbonapi,125762,Suliman Tadros,122808
106856936,Asterios Terzis,120850,JustinLee,120200
106857492,Jun_value,74049,binghua,76533
106857493,carbonapi,73559,Mengfei Li,77063
106857495,Ad Space Available,73783,carbonapi,73910
106857496,Matthew Huang,135929,Suliman Tadros,108292
106857879,Ad Space Available,74825,Asterios Terzis,64548
106858276,SpaTaro,80941,THUNDER THUNDER,80639
106858437,Otter Vibe,115028,Ad Space Available,87826
106858831,Suliman Tadros,95841,Asterios Terzis,81863
106859049,Ad Space Available,71650,track,81561
106861667,SpaTaro,81499,Asterios Terzis,80333
106862603,Mengfei Li,78022,Asterios Terzis,70363
106864067,binghua,79258,Agent 0,65797
106864070,Matthew Huang,87781,carbonapi,80346
106864071,Matthew Huang,77106,JustinLee,77107
106864893,SpaTaro,122277,Matthew Huang,116886
106864954,Mengfei Li,129586,Otter Vibe,133605
106865024,SpaTaro,107041,Suliman Tadros,92981
106865675,track,108272,SpaTaro,95517
106865769,Ad Space Available,142972,JustinLee,113040
106866489,Asterios Terzis,109493,mtmr_s1,109070
106867371,Matthew Huang,119416,Asterios Terzis,112696
106867451,mtmr_s1,68310,Ad Space Available,74815
106868332,Asterios Terzis,142275,Ad Space Available,143019
106868644,THUNDER THUNDER,69870,SpaTaro,80340
106869660,Jun_value,78196,binghua,75777
106870161,Ad Space Available,97176,heinado,106384
106870212,Asterios Terzis,111619,carbonapi,119284
106870542,Matthew Huang,106557,SpaTaro,112940
106870587,Mengfei Li,104168,Otter Vibe,101174
106871599,Jun_value,74612,Suliman Tadros,77192
106872549,Matthew Huang,78700,carbonapi,75076
106875176,binghua,102435,Otter Vibe,113936
106875277,mtmr_s1,98154,Ad Space Available,90715
106875373,SpaTaro,137531,Otter Vibe,142355
106875794,自己找差距,155622,Matthew Huang,152390
106876076,Matthew Huang,121175,Mengfei Li,111400
106876754,自己找差距,104859,Matthew Huang,99827
106877933,mtmr_s1,114872,Suliman Tadros,101189
106877988,carbonapi,119558,Suliman Tadros,130812
106878802,Tarang222,101473,SpaTaro,100227
106879735,Tarang222,93307,mtmr_s1,99277
106879962,Matthew Huang,86594,binghua,89285
106880004,JustinLee,84398,Ad Space Available,83992
106880061,SpaTaro,116674,Otter Vibe,118824
106880070,Otter Vibe,102190,SpaTaro,99213
106880602,binghua,88221,heinado,90616
106880646,Asterios Terzis,118804,binghua,135699
106880865,Matthew Huang,149220,Mengfei Li,115300
106881502,Tarang222,147360,自己找差距,141580
106881621,Tarang222,79239,Ad Space Available,83347
106882428,自己找差距,72578,Tarang222,61898
106882517,Matthew Huang,102896,Asterios Terzis,95058
106882710,自己找差距,139361,carbonapi,123841
106882713,Matthew Huang,83474,Suliman Tadros,83353
106883410,Matthew Huang,78834,自己找差距,74769
106883820,自己找差距,174065,Tarang222,149006
106884381,heinado,101597,binghua,131461
106884670,Otter Vibe,119040,SpaTaro,117818
106884675,SpaTaro,92878,Matthew Huang,85264
106884785,binghua,143501,Asterios Terzis,129961
106885295,自己找差距,76087,THUNDER THUNDER,71716
